category,orders,gmv,aov,avg_review_score,negative_reviews,reviews,avg_delivery_days,late_orders,canceled_orders,negative_review_rate,late_delivery_rate,cancellation_rate,risk_score
agro_industry_and_commerce,182,78374.07,369.68900943396227,4.0,34,212,11.223300970873787,7,0,0.16037735849056603,0.038461538461538464,0.0,0.1988388969521045
air_conditioning,253,61774.19,207.99390572390573,3.969178082191781,52,292,11.792387543252595,11,2,0.1780821917808219,0.043478260869565216,0.007905138339920948,0.22946559099030808
art,202,28247.81,135.15698564593302,3.9371980676328504,38,207,10.873096446700508,12,1,0.18357487922705315,0.0594059405940594,0.0049504950495049506,0.2479313148706175
arts_and_craftmanship,23,2184.14,91.00583333333333,4.125,3,24,5.291666666666667,1,0,0.125,0.043478260869565216,0.0,0.16847826086956522
audio,350,56398.94,154.94214285714287,3.8319444444444444,77,360,12.883977900552486,42,1,0.21388888888888888,0.12,0.002857142857142857,0.33674603174603174
auto,3897,685384.32,161.83809208972843,4.064885496183206,637,4192,11.76636868808891,291,30,0.151956106870229,0.07467282525019246,0.007698229407236336,0.23432716152765778
baby,2885,480118.0,156.64535073409462,4.010690789473684,509,3040,12.056338028169014,229,20,0.1674342105263158,0.07937608318890814,0.006932409012131715,0.25374270272735566
bed_bath_table,9417,1241681.72,111.7122555105713,3.898333636860317,2055,10982,12.336802702455948,770,18,0.1871243853578583,0.08176701709673993,0.001911436763300414,0.27080283921789866
books_general_interest,512,56052.4,101.36057866184449,4.446265938069216,47,549,11.171641791044776,33,7,0.08561020036429873,0.064453125,0.013671875,0.16373520036429873
books_imported,53,5409.7,90.16166666666666,4.4,7,60,7.666666666666667,2,0,0.11666666666666667,0.03773584905660377,0.0,0.15440251572327043
books_technical,260,23379.12,87.56224719101124,4.363636363636363,29,264,10.2319391634981,21,0,0.10984848484848485,0.08076923076923077,0.0,0.19061771561771562
cds_dvds_musicals,12,954.99,68.21357142857143,4.642857142857143,0,14,10.357142857142858,0,0,0.0,0.0,0.0,0.0
christmas_supplies,128,12030.12,78.62823529411766,4.02054794520548,21,146,15.3,15,1,0.14383561643835616,0.1171875,0.0078125,0.2688356164383562
